Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1695945036.3798995,894,85837,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945037.379099,895,85838,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945038.380373,896,85839,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945039.379464,897,85840,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945040.3795676,898,85841,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945041.3795805,899,85842,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945042.3803186,900,85843,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945043.3803892,901,85844,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945044.3792045,902,85845,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945045.37919,903,85846,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945046.3801062,904,85847,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945047.3795884,905,85848,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945048.3797638,906,85849,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945049.4173563,907,85850,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945050.3800447,908,85851,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
1695945051.3796434,909,85852,0,GPS1_Frame,42.33826666666667,-71.08555,16.5,328193.89483669866,4689441.137426584,19,T
